disctrictname,pinyin
六角亭,Liujiaoting
小渡船,Ferryboat
航空路,Aeronautical Road
旗峰坝,Qifeng
土桥坝,Tuqiao
金桂大道,Jingui
施州大道,Shizhou
红庙开发区,Red temple Development Zone
梁子湖区,Liangzihu
华容区,Huarong
鄂城区,Echeng
雨花区,Yuhua
芙蓉区,furong
岳麓区,Yuelu
天心区,Tianxin
开福区,kaifu
望城区,Wangcheng
星沙,Xingsha
浏阳市,Liuyang
宁乡县,Ningxiang
株洲,Zhuzhou
天元,Tianyuan
荷塘,Hetang
芦淞,Song
石峰,Danfeng
醴陵,Liling
株洲县,Zhuzhou
攸县,Youxian
茶陵,Chaling
炎陵,Yanling
云龙示范区,Yunlong demonstration area
永定区,Yongding
桑植县,Sangzhi
武陵源区,Wulingyuan
慈利县,Cili
岳阳楼,Yueyang
云溪,Yunxi
君山,Junshan
岳阳,Yueyang
华容,Huarong
湘阴,Xiangyin
平江,Pingjiang
汨罗,Miluo
临湘,Linxiang
零陵区,Lingling
冷水滩区,Lengshuitan
祁阳县,Qiyang
资阳区,Ziyang
赫山区,Heshan
南县,Nanxian
桃江县,Taojiang
安化县,Anhua
沅江市,yuanjiang
高新区,Gaoxin
大通湖区,Datong Lake area
湘潭周边,Perimeter of Xiangtan
雨湖,Rainy Lake
岳塘,Yue Tong
九华经济开发区,Jiuhua Economic Development Zone
韶山,Shaoshan
湘潭县,Xiangtan
湘乡,Xiangxiang
大祥区,Daxiang
双清区,Shuangqing
北塔区,Beita
邵东县,Shaodong
新邵县,Xinshao
邵阳县,Shaoyang
隆回县,Longhui
洞口县,Dongkou
绥宁县,Suining
新宁县,Xin Ning
城步苗族自治县,Chengbu Miao Autonomous
武冈市,wugang
娄星区,Louxing
双峰县,Shuangfeng
新化县,Xinhua
冷水江市,Lengshuijiang
涟源市,lianyuan
市经济开发区,City Economic Development Zone
万宝新区,Wanbao
湖天区,Lake Sky Area
紫东片区,Purple East Section
城东区,Seongdong-gu
城中区,city central
铁北区,Iron North
河西区,Hexi
鹤城区,Hecheng
中方县,Chinese
洪江市,hongjiang
芷江县,Zhi River
溆浦县,Xupu
辰溪县,Chenxi
会同县,Huitong
靖州县,Jingzhou
通道县,Channel
新晃县,Xinhuang
沅陵县,Yuanling
麻阳县,Mayang
蒸湘,Steam Xiang
珠晖,Zhu Hui
雁峰,Wild goose peak
石鼓,Stone Drum
南岳,Mount Heng in Hunan Province
衡阳县,Hengyang
衡南,Hengnan
衡山,Hengshan
祁东,Qidong
耒阳,Leiyang
常宁,Changning
衡东,Hengdong
北湖区,Beihu
苏仙区,Suxian
桂阳县,Guiyang
宜章县,Yizhang
永兴县,Yongxing
嘉禾县,Jiahe
临武县,Linwu
汝城县,Rucheng
桂东县,Guangdong
安仁县,Anren
资兴市,Zixing
武陵,Wuling
鼎城,Dingcheng
津市,tsu
澧县,Lixian
桃源,Taoyuan
石门,Shimen
临澧,Linli
安乡,Anxiang
汉寿,Hanshou
朝阳,Chaoyang
高新,Gaoxin
南关,Nanguan
经开,Pass through
净月,Net month
绿园,Green Park
宽城,Broad
二道,The two way
汽车厂开发区,Automobile Factory Development Zone
呼兰,Hulan
宁江区,Ning Jiang
前郭县,Qian Guo
长岭县,Changling
乾安县,Qian An
扶余市,Fuyu
铁西区,Tiexi
铁东区,Tiedong
梨树县,lishu
伊通满族自治县,Yitong Manchu Autonomous
公主岭市,Gongzhuling
双辽市,Shuangliao
昌邑区,Changyi
船营区,Chuanying
龙潭区,Longtan
丰满区,Fengman
永吉县,Yongji
舒兰市,shulan
磐石市,Panshi
蛟河市,Jiaohe
桦甸市,huadian
经开区,Jingkai
高新区,Gaoxin
延吉市,Yanji
敦化市,dunhua
珲春市,HunChun
汪清县,Wangqing
安图县,Antu
龙井市,Longjing
和龙市,Helong
图们市,Tumen
白下,Baixia
鼓楼,Gulou
高淳,Gaochun
建邺,Jianye
江宁,Jiangning
溧水,Lishui
六合,Liuhe
浦口,Pukou
秦淮,Qinhuai
玄武,Basalt
栖霞,Qixia
下关,Xiaguan
雨花台,Yuhuatai
南京周边,Perimeter of Nanjing
姑苏区,Gusu
吴中区,wuzhong
相城区,Xiangcheng
高新区,Gaoxin
工业园区,industrial park
吴江区,Wujiang
昆山,Kunshan
常熟,Changshu
太仓,Taicang
张家港,Zhangjiagang
无锡,Wuxi
崇安区,Chongan
南长区,Nanchang
北塘区,Beitang
惠山区,huishan
锡山区,xishan
滨湖区,Binhu
江阴市,Jiangyin
宜兴市,Yixing
新区,Xinqu
新吴区,Xinwu
玉山镇,Yushan
花桥镇,Huaqiao
巴城镇,Town of Pakistan
千灯镇,Qiandeng
张浦镇,Zhangpu
周市镇,Zhou
陆家镇,Lujia
锦溪镇,Jinxi
淀山湖镇,Dianshanhu
周庄镇,zhouzhuang
周边,periphery
新北,Taipei
天宁,Tinian
钟楼,Bell
武进,Wujin
戚区,Qi
金坛,Jintan
溧阳,Liyang
常州周边,Perimeter of Changzhou
宝应市,Baoying
广陵区,Guangling
高邮市,Gaoyou
邗江区,Hanjiang
江都区,Jiangdu
开发区,Kaifaqu
仪征市,Yizheng
丰县,Fengxian
鼓楼,Gulou
贾汪,Jiawang
金山桥开发区,Jinshan Bridge Development Zone
沛县,Peixian
邳州市,Pizhou
泉山,Quanshan
睢宁市,Suining
新城区,New urban area
新沂市,Xinyi
云龙,Yunlong
铜山区,Tongshan
崇川,Chongchuan
港闸,Gangzha
海门市,Haimen
海安县,Haian
开发区,Kaifaqu
启东市,qidong
如皋市,Rugao
如东县,Rudong
通州,Tongzhou
丹阳市,Danyang
句容市,jurong
扬中市,yangzhong
丹徒区,dantu
京口区,Jingkou
润州区,Runzhou
镇江新区,Zhenjiang
亭湖,Pavilionhu
盐都,Yandu
响水,Xiangshui
阜宁,Funing
滨海,Coastal
射阳,Sheyang
建湖,Jianhu
东台,Dongtai
大丰,Dafeng
城南新区,Chengnan
开发区,Kaifaqu
宿城区,Sucheng
宿豫区,Suyu
沭阳县,Shuyang
泗洪县,Sihong
泗阳县,Siyang
洋河新区,Yanghe
其他,Other
城中,Chengzhong
城东,Chengdong
城南,Chengnan
城西,Chengxi
城北,Chengbei
高港,Gaogang
靖江市,Jingjiang
姜堰市,Jiangyan
泰兴市,taixing
兴化市,xinghua
新浦,Sinpo
海州,Haizhou
连云,Lian Yun
开发,Development
灌南,Guannan
灌云,Guanyun
东海,DongHai
赣榆,Ganyu
清河区,Qinghe
清浦区,Qingpu
淮阴区,huaiyin
金湖县,Jinhu
盱眙县,Xuyi
涟水县,Lianshui
洪泽县,Hongze
开发区,Kaifaqu
楚州,Chuzhou
昌北,Changbei
象湖,Xianghu
东湖,Donghu
高新开发区,Gaoxin Development Zone
红谷滩,Honggu
南昌县,Nanchang
青山湖,Qingshanhe
青云谱,Qingyunpu
湾里,Wanli
西湖,Xihe
新建县,Xinjian
月湖区,Yuehu
余江县,Yujiang
贵溪市,Guixi
高新区,Gaoxin
龙虎山,Longhushan
信江新区,Xinjiang
袁州,Yuanzhou
丰城,Fengcheng
高安,takayasu
樟树,Zhangshu
万载,Wanzai
上高,Shanggao
奉新,Fengxin
宜丰,Yifeng
其它,Other
渝水区,yushui
分宜县,Yi
仙女湖风景名胜区,Jiangkou Reservoir Scenic Area
新余高新开发区,Xinyu Gaoxin Development Zone
信州区,Xinzhou
广丰县,Guangfeng
德兴市,Dexing
上饶县,Shangrao
玉山县,Yushan
铅山县,Yanshan
横峰县,Hengfeng
弋阳县,Yiyang
余干县,Yugan
鄱阳县,Poyang
万年县,Wannian
婺源县,Wuyuan
安源区,Anyuan
湘东区,Xiangdong
莲花县,Lianhua
上栗县,Shangli
芦溪县,Luxi
浔阳,Xunyang
庐山,Lushanshan
开发区,Kaifaqu
九江县,Jiujiang
湖口县,Hukou
彭泽县,Pengze
都昌县,Duchang
星子县,Xingzi
德安县,De an
永修县,Yongxiu
瑞昌市,ruichang
共青城市,Gongqingcheng
武宁县,Wuning
修水县,Xiushui
昌江区,changjiang
珠山区,Zhushan
浮梁县,Fuliang
乐平市,Leping
吉州区,Jizhou
青原区,Qingyuan
井冈山市,Jinggangshan
吉安县,Ji'an
泰和县,Taihe
万安县,Wan An
遂川县,Suichuan
永新县,Yongxin
永丰县,Yongfeng
吉水县,Jishui
安福县,Anfu
新干县,Xinqian
峡江县,Xiajiang
章贡,Zhanggong
章江新区,Zhangjiang
老城区,Old
开发区,Kaifaqu
站北区,The north area of the station
水东区,Shuidong
水西区,Waterxiqu
南康,Nankang
瑞金,Ruijin
赣县,Ganxian
信丰,Xinfeng
宁都,ningdu
于都,Yudu
大余,Excess
上犹,Judah
崇义,Worship
安远,Anyuan
定南,Dingnan
全南,Quannan
兴国,Xingguo
临川区,Linchuan
南城县,Nancheng
黎川县,Lichuan
南丰县,Nanfeng
崇仁县,Chongren
乐安县,Yuean
宜黄县,Yihuang
金溪县,Jinxi
资溪县,Zixi
东乡县,Dongxiang
广昌县,Guangchang
沈河区,Shenhe
大东区,Dadong
皇姑区,Huanggu
和平区,Heping
铁西区,Tiexi
东陵区,Dongling
于洪区,Yuhong
浑南新区,Hunnan
沈北新区,Shenbei
苏家屯,Sujiatun
沈抚新城,Shenfu
其它区域,Others
中山区,Zhongshan
西岗区,xigang
沙河口区,shahekou
甘井子区,ganjingzi
高新技术产业园区,Gaoxin Technology Industrial Park
经济技术开发区,Economic-Technological Development Area
旅顺口区,Lushun mouth area
金州区,Jinzhou
瓦房店市,Wafangdian
普兰店市,Pulandian
庄河市,Zhuanghe
长海县,Changhai
长兴岛临港工业区,Changxing Islandgang Industrial Zone
新抚区,Xinfu
顺城区,Shun
东洲区,dongzhou
望花区,Wanghua
开发区,Kaifaqu
胜利,Shengli
清原,Qingyuan
新宾,Xinbin
抚顺县,Fushun
铁西,Tiexi
铁东,Tiedong
千山,Qianshan
立山,Lishan
岫岩,Xiuyan
海城,Haicheng
台安,Taian
高新区,Gaoxin
站前,Zhanqian
西市,West
鲅鱼圈,Bayuquan
大石桥,Dashiqiao
盖州,Gaizhou
昌图,Changtu
调兵山,Diaobingshan
开原,Kaiyuan
清河,Qinghe
西丰,Xifeng
银州,Yinzhou
铁岭新城区,New urban area of Tieling
铁岭县,Tieling
其他,Other
双台子区,Shuangtaizi
兴隆台区,Xinglongtai
白塔区,Baita
文圣区,Wensheng
宏伟区,Hongwei
弓长岭区,Gongchangling
太子河区,Taizihe
辽阳县,Liaoyang
灯塔市,Dengta
凌河,Linghe
古塔,Guta
太和,Taihe
松山新区,Songshan
凌海,Linghai
经济开发区,economic development zone
黑山,Montenegro
北镇,Beizhen
义县,Yixian
连山区,Lianshanshans
龙港区,Longgang
南票区,Nanpiao
绥中县,Suizhong
建昌县,Jianchang
兴城市,Xingcheng
龙湾中央商务区,Longwan central business
东戴河新区,The of the East Dai River
海州区,haizhou
新邱区,Xinqiu
太平区,Taiping
清河门区,Qinghemen
细河区,Xihe
阜新蒙古族自治县,Fuxin Mongolian Autonomous
彰武县,Zhangwu
元宝区,Yuanbao
振兴区,Zhenxing
振安区,Zhenan
宽甸满族自治县,Kuandian Manchu Autonomous
东港市,donggang
凤城市,Fengcheng
新城区,New urban area
开发区,Kaifaqu
平山区,Pingshan
溪湖区,xihu
双塔区,Shuangta
龙城区,Longcheng
朝阳县,Chaoyang
建平县,Jianping
喀喇沁左翼蒙古族自治,The Mongolian Autonomy of the left wing of the Kala
北票市,Beipiao
凌源市,Lingyuan
新城,Xingcheng
赛罕,Saihan
玉泉,Yuquan
回民,Huimin
如意开发区,Ruyi Development Zone
金桥开发区,Jinqiao Development Zone
金川开发区,Jinchuan Development Zone
金山开发区,Jinshan Development Zone
昆都仑区,Kundulunqu
东河区,Donghe
青山区,Qingshan
九原区,Jiuyuan
白云鄂博矿区,Bayan Obo
石拐区,shiguai
固阳县,Guyang
土默特右旗,The right flag of the earth
达尔罕茂明安联合旗,United flag of the Da Han Ming An
稀土高新区,Rare earth high tech Zone
滨河新区,Binhe
集宁区,Jining
丰镇市,Fengzhen
兴和县,Xinghe
卓资山县,Zhuozishan
凉城县,Liangcheng
化德县,Hude
商都县,Shangdu
察哈尔右翼前旗,Chahar Right Wing Front Banner
察哈尔右翼中旗,Chahar right wing middle flag
察哈尔右翼后旗,Right wing back flag of Chahar
四子王旗,Siziwangqi
海勃湾区,Haibowan
乌达区,Wuda
海南区,Hainan
滨河区,Binhe
科尔沁区,Keerqin
霍林郭勒市,Huolingol
开鲁县,Kailu
科尔沁左翼中旗,Horqin left-wing middle flag
科尔沁左翼后旗,Horqin left-wing rear flag
奈曼旗,Naiman Banner
库伦旗,Kulun flag
扎鲁特旗,The flag of Al
城南,Chengnan
城北,Chengbei
城东,Chengdong
城西,Chengxi
东胜,Dongsheng
铁西,Tiexi
康巴什,Kangbashi
达拉特旗,Dalate flag
伊金霍洛旗,Yijinhuoluo
乌审旗,Wu Wei banner
杭锦旗,Hangjinqi
鄂托克旗,The east of China
鄂托克前旗,Etuokeqianqi
准格尔旗,Zhungeer Qi
红山区,Hongshanshan
松山区,songshan
新城区,New urban area
桥北新区,The of the bridge north
元宝山区,yuanbaoshan
其他,Other
海拉尔区,hailar
满洲里市,Manchuria
扎兰屯市,Zhalantun
牙克石市,yakeshi
根河市,Genhe
额尔古纳市,Ergun
阿荣旗,Arongqi
新巴尔虎右旗,New bar and tiger right flag
新巴尔虎左旗,New barn and tiger left flag
陈巴尔虎旗,Chen Ba Er and tiger flag
鄂伦春自治旗,Oroqen autonomous flag
鄂温克族自治旗,Evenki Autonomous Banner
莫力达瓦达斡尔族自治,Mori Dawa Daur autonomy
临河区,linhe
五原,Five original
磴口,Dengkou
乌拉特前旗,The front banner of the US
乌拉特中旗,Urat Zhongqi
乌拉特后旗,The rear flag of the US
杭锦后旗,Hangjinhouqi
临河周边,Perimeter of Linhe
锡林浩特市,xilinhot
二连浩特市,Erenhot
多伦县,Duolun
正蓝旗,The blue flag
镶黄旗,Yellow flag
正镶白旗,A white flag
阿巴嘎旗,AlbagA
太仆寺旗,Taipusiqi
苏尼特左旗,The left flag of the Fenghuang
苏尼特右旗,The right flag of the sun
东乌珠穆沁旗,East Wu Zhu Mu Qin flag
西乌珠穆沁旗,West Wu Zhu Mu Qin flag
乌拉盖管理区,Urapi management area
兴庆区,Xingqing
金凤区,Jinfeng
西夏区,Xixia
滨河新区,Binhe
贺兰县,Helan
永宁县,Yongning
灵武市,Lingwu
大武口区,Dawukou
惠农区,Huinong
平罗县,Pingluo
利通区,Litong
红寺堡区,Hongsibaoqu
盐池县,Yanchi
同心县,Tongxin
青铜峡市,qingtongxia
沙坡头区,Shapotou
中宁县,Zhongning
海原县,Haiyuan
原州区,Yuanzhou
西吉县,Xiji
隆德县,Longde
泾源县,Jingyuan
彭阳县,Pengyang
城东区,Seongdong-gu
城中区,Chengzhong
城西区,Chengxi
城北区,Seongbuk-gu
大通自治县,Datong Autonomous
湟中,Huangzhong
湟源,Huangyuan
城南新区,Chengnan
市中,In the
天桥,Footbridge
历下,Calendar
历城,The calendar
高新,Gaoxin
槐荫,Huaihua shade
长清,Changqing
章丘,Zhangqiu
商河,Shanghe
济阳,Jiyang
平阴,Pingyin
崂山,Laoshan
市南,Shinan
市北,Shinbei
四方,Xifang
李沧,Licang
黄岛开发区,Huangdao Development Zone
城阳,Chengyang
胶州市,jiaozhou
胶南市,Jiaonan
平度市,Pingdu
莱西市,Laixi
即墨市,Jimo
芝罘区,Zhifu
莱山区,Laishan
开发区,Kaifaqu
福山区,fushan
牟平区,Muping
蓬莱市,Penglai
莱州市,Laizhou
龙口市,Longkou
海阳市,Haiyang
栖霞市,Qixia
招远市,Zhaoyuan
高新区,Gaoxin
莱阳市,Laiyang
奎文,Kuiwei
潍城,Weicheng
高新技术开发区,Gaoxin Technology Development Zone
经济开发区,economic development zone
寒亭,Hanting
坊子,Fangzi
滨海经济开发区,Coastal Economic Development Zone
寿光,Shouguang
诸城,Zhucheng
高密,Gaomi
昌邑,Changyi
青州,Qingzhou
安丘,Anqiu
临朐,Linqu
昌乐,Changle
钢城,cities formed mainly of steel-production enterprises
莱城,Laicheng
全莱芜,All Laiwu
高区,Patricia Lee Gauch
环翠区,huancui
经区,Jingqu
乳山市,Rushan
荣成市,Rongcheng
文登市,Wendeng
全枣庄,All Zaozhuang
山亭,Mountain Pavilion
市中,Shizhong
台儿庄,Taierzhuang
滕州,Tengzhou
薛城,Xuecheng
峄城,Yicheng
张店区,zhangdian
高新区,Gaoxin
周村,Zhoucun
临淄,Linzi
淄川,Zichuan
桓台,Huantai
沂源,Yiyuan
高青,Gaoqing
博山,Boshan
岱岳区,Daiyue
肥城,Feicheng
高新区,Gaoxin
泰山区,Taishan
新泰市,Xintai
宁阳县,Ningyang
东平县,Dongping
东港,Donggang
石臼,Danjiu
老城区,Laocheng
新市区,New urban area
开发区,Kaifaqu
高新区,Gaoxin
山海天旅游度假区,Mountain and Haitian tourist resort
岚山,Arashiyama
五莲,Wulian
莒县,Juxian
其他,Other
河东区,Hedong
罗庄区,Luozhuang
北城新区,North
经济开发区,economic development zone
兰山区,lanshan
苍山县,Cangshan
莒南县,Junan
沂水县,Yishui
平邑县,Pingyi
蒙阴县,Mengyin
费县,Feixian
临沭县,Linshu
郯城县,Tancheng
沂南县,Yinan
东昌府,Dongchangfu
临清,Linqing
阳谷,Yanggu
茌平,Chiping
莘县,Shenxian
东阿,Dong'e
冠县,Guanxian
高唐,Gaotang
经济开发区,economic development zone
高新技术开发区,Gaoxin Technology Development Zone
江北水城旅游度假区,Jiangbei Shuicheng tourist resort
市中区,Shizhong
任城区,Rencheng
高新区,Gaoxin
太白湖新区,Taibai
兖州区,Yanzhou
曲阜,Qufu
梁山,Liangshan
汶上,Wenshang
金乡,Jinxiang
嘉祥,Jiaxiang
鱼台,Fish table
泗水,Surabaya
微山,Weishan
济宁经济技术开发区,Jining economic and Technological Development Zone
牡丹,peony
鄄城,Juancheng
单县,Shanxian
郓城,Yuncheng
曹县,Caoxian
定陶,Dingtao
巨野,Juye
东明,Dongming
成武,Chengwu
开发区,Kaifaqu
其它,Other
东城,Dongcheng
西城,Xicheng
新区,Xinqu
河口,estuary
广饶,Guangrao
垦利,Kenli
利津,Lijin
其他,Other
牛庄,Niu Zhuang
胜利油田,Shengli Oil Field
东营港,Dongyinggang
武城,Wucheng
夏津,Xiajin
平原,plain
齐河,Qihe
禹城,Yucheng
宁津,Ningjin
陵城区,Mausoleum
乐陵,Leling
临邑,Linyi
庆云,Qingyun
其他,Other
经济开发区,economic development zone
运河开发区,Canal Development Zone
德城区,De
滨城区,bincheng
博兴县,Boxing
惠民县,Huimin
无棣县,Wudi
阳信县,Yangxin
沾化县,Zhanhua
邹平县,Zouping
尖草坪,Turf
晋源,Jinyuan
万柏林,Wanpolin
小店,Xiaodian
杏花岭,Xinghua ridge
迎泽,Yingze
榆次,Yuci
其他区县,Others
城区,Chengqi
郊区,Suburb
长治县,Changzhi
襄垣县,Xiangyuan
屯留县,Tunliu
平顺县,Ping Shun
黎城县,Li Cheng
壶关县,Huguan
长子县,Changzi
武乡县,Wuxiang
沁县,Qinxian
沁源县,Qinyuan
潞城市,lucheng
盐湖区,Salinehe
永济市,Yongji
河津市,Hejin
临猗县,Linyi
万荣县,Wanrong
闻喜县,Wenxi
稷山县,Jishan
绛县,Jiang
垣曲县,Yuanqu
夏县,Xia
平陆县,Pinglu
芮城县,Ruicheng
城区,Chengqu
矿区,Danqu
郊区,Suburb
平定县,Ping Ding
盂县,Yuxian
忻府区,Xinfu
原平市,Yuanping
代县,Dai
繁峙县,Fanshi
静乐县,Jingle
定襄县,Dingxiang
五台县,Five counties
宁武县,Ningwu
神池县,Shen Chi
五寨县,Wuzhai
河曲县,Hequ
保德县,Baode
岢岚县,Cochran
偏关县,Guan Guan
朔城区,Shuocheng
平鲁区,Pinglu
山阴县,Shanyin
应县,Yingxian
右玉县,Youyu
怀仁县,Huairen
离石区,Lishi
文水县,Wenshui
交城县,Jiaocheng
兴县,Xing
临县,Linxian
柳林县,Liulin
石楼县,Shi Lou
岚县,Lan
方山县,Fangshan
中阳县,Zhongyang
交口县,Jiaokou
孝义市,Xiaoyi
汾阳市,Fenyang
吉县,Jixian
尧都区,Yaodu
曲沃县,Quwo
翼城县,Yicheng
襄汾县,Xiangfen
洪洞县,Hongdong
古县,Ancient
安泽县,Anze
浮山县,Fushan
乡宁县,Xiangning
大宁县,Daning
隰县,Xi
永和县,Yonghe
蒲县,Pu
汾西县,Fenxi
侯马市,Houma
霍州市,Huozhou
榆次,Yuci
介休,Jiexiu
太谷,Taigu
祁县,Qi
平遥,Pingyao
灵石,Lingshi
寿阳,Shouyang
昔阳,Xiyang
和顺,Heshun
左权,Zuoquan
榆社,Yushe
城区,Chengqu
高平市,gaoping
泽州县,Zezhou
沁水县,Qinshui
阳城县,Yangcheng
陵川县,Lingchuan
其他,Other
开发区,Kaifaqu
御东区,Yudong
大同县,Datong
浑源,Hunyuan
左云,Zuoyun
阳高,Yanggao
天镇,Tianzhen
灵丘,Lingqiu
广灵,Guangling
城区,Chengqu
矿区,Danqu
南郊区,Nanjiao
其他,Other
城南,Chengnan
城北,Chengbei
城西,Chengxi
城东,Chengdong
城内,Chengnei
经开区,Jingkai
曲江新区,Qujiang
高新,Gaoxin
浐灞,Chanba
长安,Changan
周边区县,Zhoubian
宝塔区,Pagoda
延长县,Yanchang
延川县,Yanchuan
子长县,Zichang
安塞县,Ansai
志丹县,Zhidan
吴起县,Wuqi
甘泉县,Ganquan
富县,Fuxian
洛川县,Luochuan
宜川县,Yichuan
黄龙县,Huanglong
黄陵县,Huangling
秦都,Qindu
渭城,Weicheng
兴平,Xingping
三原,Sanyuan
泾阳,Jingyang
乾县,Qianxian
礼泉,Liquan
永寿,Yongshou
彬县,Binxian
长武,Changwu
旬邑,Xunyi
淳化,Chunhua
武功,Wugong
白水县,Baishui
澄城县,Chengcheng
大荔县,Dali
富平县,Fuping
韩城市,Hancheng
合阳县,Heyang
华县,Hua
华阴市,Huayin
临渭区,Linwei
蒲城县,Pucheng
潼关县,Tongguan
高新区,Gaoxin
经开区,Jingkai
印台区,Yintai
耀州区,Yaozhou
宜君县,Yijun
王益区,Wangyi
新区,Xinqu
铜川周边,Perimeter of Tongchuan
汉台,Hantai
南郑,Nanzheng
城固,Chenggu
洋县,Yangxian
西乡,Xixiang
勉县,Mianxian
宁强,Ningqiang
略阳,lueyang
镇巴,Zhenba
留坝,Liuba
佛坪,Foping
经济开发区,economic development zone
其他,Other
经济开发南区,Nanqu of economic development
渭滨区,Weibin
金台区,Jintai
陈仓区,Chencang
凤翔县,Fengxiang
岐山县,Qishan
扶风县,Fufeng
千阳县,Qianyang
陇县,Longxian
凤县,Fengxian
麟游县,Linyou
太白县,Taibai
眉县,Meixian
高新区,Gaoxin
其他,Other
汉滨区,Hanbin
汉阴县,Hanyin
石泉县,Shiquan
宁陕县,Ningshan
紫阳县,Ziyang
平利县,Pingli
岚皋县,Langao
镇坪县,Zhenping
旬阳县,Xunyang
白河县,Baihe
榆阳区,Yuyang
佳县,Jia
神木县,Shenmu
府谷县,Fugu
横山县,Hengshan
靖边县,Jingbian
定边县,Dingbian
绥德县,Suide
米脂县,Mizhi
吴堡县,Wubao
清涧县,Qingjian
子洲县,Zizhou
商州区,Shangzhou
洛南县,Luonan
丹凤县,Danfeng
商南县,Shang Nan
山阳县,Shanyang
镇安县,Zhenan
柞水县,Zhashui
天府新区,Tianfu
眉山,Meishan
川音,Sichuan sound
高新区,Gaoxin
武侯,Wuhou
锦江,Jinjiang
青羊,Qingyang
成华,Chenghua
金牛,Taurus
高新西区,Gaoxin
温江,Wenjiang
龙泉,Longquan
双流,Shuangliu
郫县,Pixian
新都,Xindu
成都周边,Perimeter of Chengdu
自流井区,ziliujing
贡井区,Gongjing
大安区,Da'an
沿滩区,Yantan
荣县,Rongxian
富顺县,Fushun
雁江区,yanjiang
安岳县,Anyue
乐至县,Lezhi
翠屏,Cuiping
长宁,Changning
高县,Gao
珙县,Gongxian
江安,Jiang'an
筠连,Junlian
南溪,Nanxi
屏山,Pingshan
全宜宾,Yibin
兴文,Xingwen
宜宾,Yibin
雨城区,Yucheng
名山县,Mingshan
荥经县,Xingjing
汉源县,Hanyuan
石棉县,Asbestos
天全县,Tianquan
芦山县,Lushan
宝兴县,Baoxing
船山区,Shipshan
安居区,anju
蓬溪县,Pengxi
射洪县,Shehong
大英县,Daying
东区,Dongqu
西区,Xiqu
仁和区,Renhe
米易县,Miyi
盐边县,Yanbian
市中区,Shizhong
东兴区,dongxing
资中县,Zizhong
隆昌县,Longchang
威远县,Weiyuan
顺庆区,Shunqing
高坪区,Gaoping
嘉陵区,jialing
南部县,Southern
营山县,Yingshan
蓬安县,Pengan
仪陇县,Yilong
西充县,Xicheng
阆中市,Langzhong
涪城区,fucheng
游仙区,Youxian
三台县,Three counties
盐亭县,Yanting
安县,An
梓潼县,Zitong
北川县,Beichuan
平武县,Pingwu
江油市,Jiangyou
高新区,Gaoxin
科创园区,Ke Chuang Park
经开区,Jingkai
农科区,Agro
仙海区,Xian Hai
东坡,East Slope
洪雅,Hongya
仁寿,Renshou
丹棱,danling
彭山,Pengshan
青神,Qingshen
眉山周边,Perimeter of Meishan
其他,Other
江阳,Jiangyang
纳溪,Naxi
龙马潭,Longmatan
泸县,Luxian
合江,Hejiang
叙永,Xuyong
古蔺,Gulin
西昌市,Xichang
木里藏族自治县,Muli Tibetan Autonomous
盐源县,Yanyuan
德昌县,Dechang
会理县,Huili
会东县,Huidong
宁南县,Ningnan
普格县,Pug
布拖县,Butuo
金阳县,Jinyang
昭觉县,Zhaojue
喜德县,Xide
冕宁县,Mianning
越西县,Yuexi
雷波县,Leibo
甘洛县,Ganluo
美姑县,Meigu
市中,Shizhong
沙湾,Shawan
五通桥,Wutongqiao
金口河,Jinchihe
峨眉山市,Emeishan
犍为县,Qianwei
井研县,Jingyan
利州区,Lezhou
昭化区,Zhaohua
朝天区,chaotian
苍溪县,Cangxi
青川县,Qingchuan
旺苍县,Wangcang
剑阁县,Jiange
广安区,Guang'an
岳池县,Yuechi
武胜县,Wusheng
邻水县,Neighborhood
华蓥市,Huaying
前锋区,Forward area
旌阳区,Jingyang
中江县,Zhongjiang
广汉市,Guanghan
什邡市,Shifang
绵竹市,Mianzhu
罗江县,Luojiang
通川区,Tongchuan
达川区,Dachuan
宣汉县,Xuanhan
开江县,Kaijiang
大竹县,Dazhu
渠县,Quxian
万源市,wanyuan
巴州区,bazhou
巴州区,bazhou
兴文新区,Xingwen
恩阳区,Enyang
南江县,Nanjiang
平昌县,Pingchang
通江县,Tongjiang
城关,Chengguan
达孜,Dazi
当雄,Male
堆龙德庆,Piled dragon de celebration
林周,Linzhou
墨竹工卡,Mo bamboo industry card
尼木,Nei
曲水,Qushui
柳梧新区,Liuwu
东城新区,Dongcheng
次角林新区,Sub - Jiao Lin
其他,Other
天山区,Tianshan
沙依巴克区,Saybagh
新市区,New urban area
水磨沟区,shuimogou
开发区,Kaifaqu
高铁新区,Gaotie
会展中心,Convention and Exhibition Center
米东区,Midong
头屯河区,Toutunhe
达坂城区,Dabancheng
乌鲁木齐县,Urumqi
乌鲁木齐周边,Perimeter of Urumqi
伊宁市,Yining
奎屯市,Kuitun
伊宁县,Yining
尼勒克,Nilka
霍城县,Huocheng
昭苏县,Zhaosu
巩留县,Gongliu
特克斯县,Turks
新源县,Xinyuan
察布查尔县,Qapqal
喀什市,Kashi
疏附县,Shufu
疏勒县,Shule
英吉沙县,Shaxian
泽普县,Zip
莎车县,Shache
叶城县,Yecheng
麦盖提县,Mengaiti
岳普湖县,Yuepuhu
伽师县,Jiashi
巴楚县,Bachu
塔什库尔干县,Tower
